full_black,full_sour,dried_cherry,fungus,severe_insect,foreign_matter,partial_black,partial_sour,parchment,floater,immature,withered,shell,broken,hull,slight_insect,moisture,color,agtron,quakers,color_title,category_one_total,category_two_total,category_one_equivalent,category_two_equivalent,pass,random_id
0,0,0,0,2,0,5,1,0,0,0,0,15,9,0,3,11,4,0,0,Green,2,33,0,5,TRUE,344617
0,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,11,3,0,0,Bluish-Green,0,8,0,0,TRUE,674386
0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,10,11,4,0,0,Green,0,16,0,1,TRUE,324816
0,0,0,0,5,0,1,12,0,0,32,0,0,160,0,20,14,4,0,5,Green,5,225,1,44,FALSE,875590
0,0,0,0,0,0,5,0,0,0,0,0,4,13,0,1,10,4,0,2,Green,0,23,0,3,TRUE,946016
0,0,0,0,0,0,0,0,0,0,1,0,3,10,0,0,10,4,0,1,Green,0,14,0,2,TRUE,768342
0,0,0,0,1,0,0,0,0,0,26,0,0,62,0,3,14,4,0,5,Green,1,91,0,17,FALSE,940171
0,0,0,0,0,0,0,1,0,0,26,7,1,17,0,10,11,4,0,0,Green,0,62,0,10,FALSE,754562
0,0,0,0,0,0,2,0,0,0,0,0,8,14,0,0,11,4,0,2,Green,0,24,0,3,TRUE,427045
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,4,0,0,Green,0,1,0,0,TRUE,622529
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,4,0,0,Green,0,1,0,0,TRUE,939929
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,929099
0,0,0,0,0,0,2,1,0,0,0,0,17,15,0,0,11,4,0,2,Green,0,35,0,6,FALSE,676419
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,4,0,0,Green,0,3,0,0,TRUE,532954
0,0,0,0,0,0,3,0,0,0,1,0,8,5,0,0,10,4,0,0,Green,0,17,0,3,TRUE,807582
0,0,0,0,0,0,3,1,0,0,0,0,12,10,0,1,11,2,0,0,Blue-Green,0,27,0,5,TRUE,272937
0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,9,4,0,0,Green,0,9,0,1,TRUE,990730
0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,10,1,0,0,None,1,2,1,0,FALSE,856523
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,Green,0,0,0,0,TRUE,790329
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,1,0,0,None,0,3,0,0,TRUE,127616
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,1,0,0,None,0,6,0,1,TRUE,816803
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,11,1,0,0,None,0,6,0,0,TRUE,401052
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,4,0,0,Green,0,2,0,0,TRUE,768955
0,0,0,0,0,0,0,0,0,0,1,0,5,4,0,23,10,4,0,2,Green,0,33,0,3,TRUE,719175
0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,11,2,0,0,Blue-Green,0,11,0,2,TRUE,111259
0,0,0,0,0,0,5,0,0,0,2,0,4,2,0,0,12,4,0,0,Green,0,13,0,1,TRUE,123877
0,0,0,0,0,0,2,0,1,0,0,0,13,8,0,2,10,4,0,0,Green,0,26,0,3,TRUE,484203
0,0,0,0,0,0,0,0,0,1,7,0,0,13,0,0,12,4,0,1,Green,0,21,0,3,TRUE,832675
0,0,0,0,0,0,0,0,0,0,38,0,0,54,0,1,13,4,0,0,Green,0,93,0,17,FALSE,541925
0,0,0,0,0,0,2,0,0,0,4,0,6,14,0,3,11,4,0,2,Green,0,29,0,3,TRUE,467156
0,0,0,0,0,0,3,1,0,0,1,0,4,15,0,8,10,4,0,1,Green,0,32,0,4,TRUE,321600
0,0,0,0,0,0,0,0,0,0,42,0,0,36,0,0,12,4,0,3,Green,0,78,0,15,FALSE,620277
0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,11,3,0,0,Bluish-Green,0,6,0,0,TRUE,505381
0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,3,12,3,0,1,Bluish-Green,2,6,0,0,TRUE,149549
0,0,0,0,0,0,0,5,0,0,8,0,0,3,0,11,11,4,0,1,Green,0,27,0,3,TRUE,241911
0,0,0,0,1,0,5,0,0,0,2,0,10,14,0,2,11,4,0,2,Green,1,33,0,5,TRUE,422987
0,0,0,0,0,0,0,0,0,0,20,0,0,65,0,25,9,2,0,1,Blue-Green,0,110,0,19,FALSE,257179
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,47,11,4,0,0,Green,0,52,0,5,TRUE,138073
0,2,0,0,3,0,0,0,0,0,0,0,0,4,0,0,12,4,0,0,Green,5,4,2,0,FALSE,768984
0,0,0,0,0,0,8,1,0,0,3,0,10,9,0,2,10,4,0,0,Green,0,33,0,5,TRUE,795473
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,10,4,0,0,Green,0,16,0,2,TRUE,758485
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,10,4,0,0,Green,0,20,0,1,TRUE,756661
